weight_class,name,nation,nation_code,gender,wrl_rank
Frauen +78kg (Heavyweight),Akerke RAMAZANOVA,Kazakhstan,KAZ,f,#58
Frauen +78kg (Heavyweight),Akira SONE,Japan,JPN,f,#34
Frauen +78kg (Heavyweight),Asya TAVANO,Italy,ITA,f,#6
Frauen +78kg (Heavyweight),Beatriz SOUZA,Brazil,BRA,f,#20
Frauen +78kg (Heavyweight),Brigitte CARABALI,Colombia,COL,f,#37
Frauen +78kg (Heavyweight),Dayanara CURBELO TRAVIESO,Cuba,CUB,f,#42
Frauen +78kg (Heavyweight),Elis STARTSEVA,Russian Federation,RUS,f,#10
Frauen +78kg (Heavyweight),Emma-Melis AKTAS,Estonia,EST,f,#12
Frauen +78kg (Heavyweight),Erica SIMONETTI,Italy,ITA,f,#18
Frauen +78kg (Heavyweight),Fernanda QUIMBIRA,Angola,ANG,f,#33
Frauen +78kg (Heavyweight),Gabrielle BOUVIER,Belgium,BEL,f,#57
Frauen +78kg (Heavyweight),Helena VUKOVIC,Croatia,CRO,f,#7
Frauen +78kg (Heavyweight),Hilal OZTURK,Türkiye,TUR,f,#56
Frauen +78kg (Heavyweight),Hyeonji LEE,Republic of Korea,KOR,f,#4
Frauen +78kg (Heavyweight),Iriskhon KURBANBAEVA,Uzbekistan,UZB,f,#30
Frauen +78kg (Heavyweight),Izayana MARENCO,Nicaragua,NCA,f,#74
Frauen +78kg (Heavyweight),Jinesinuer AYIMAN,People's Republic of China,CHN,f,#11
Frauen +78kg (Heavyweight),Kamila BERLIKASH,Kazakhstan,KAZ,f,#47
Frauen +78kg (Heavyweight),Karen LEON,Venezuela,VEN,f,#17
Frauen +78kg (Heavyweight),Lea FONTAINE,France,FRA,f,#2
Frauen +78kg (Heavyweight),Ling Fang CHANG,Chinese Taipei,TPE,f,#69
Frauen +78kg (Heavyweight),Madina KAISINOVA,Azerbaijan,AZE,f,#83
Frauen +78kg (Heavyweight),Mao ARAI,Japan,JPN,f,#8
Frauen +78kg (Heavyweight),Maria HOELLWART,Austria,AUT,f,#71
Frauen +78kg (Heavyweight),Mariia IVANOVA,Russian Federation,RUS,f,#15
Frauen +78kg (Heavyweight),Moira MORILLO,Dominican Republic,DOM,f,#36
Frauen +78kg (Heavyweight),Nominzul DAMBADARJAA,Mongolia,MGL,f,#31
Frauen +78kg (Heavyweight),Raz HERSHKO,Israel,ISR,f,#1
Frauen +78kg (Heavyweight),Richelle Anita SOPPI MBELLA,Cameroon,CMR,f,#44
